Year	Count	Proportion
2021	19312	8.461
2020	19530	8.556
2019	18218	7.982
2018	15880	6.957
2017	14669	6.427
2016	13601	5.959
2015	12443	5.452
2014	11047	4.840
2013	9871	4.325
2012	9112	3.992
2011	8349	3.658
2010	7510	3.290
2009	7882	3.453
2008	6939	3.040
2007	5859	2.567
2006	4821	2.112
2005	4308	1.887
2004	3323	1.456
2003	3189	1.397
2002	2817	1.234
2001	2603	1.140
2000	2556	1.120
1999	2094	0.917
1998	2451	1.074
1997	2112	0.925
1996	1822	0.798
1995	1594	0.698
1994	1454	0.637
1993	1348	0.591
1992	1299	0.569
1991	1065	0.467
1990	670	0.294
1989	531	0.233
1988	478	0.209
1987	454	0.199
1986	506	0.222
1985	496	0.217
1984	526	0.230
1983	477	0.209
1982	444	0.195
1981	446	0.195
1980	476	0.209
1979	462	0.202
1978	439	0.192
1977	407	0.178
1976	366	0.160
1975	336	0.147
1974	293	0.128
1973	293	0.128
1972	260	0.114
1971	263	0.115
1970	263	0.115
1969	284	0.124
