Year	Count	Proportion
2021	2666	10.264
2020	2655	10.221
2019	2448	9.424
2018	2038	7.846
2017	1873	7.211
2016	1696	6.529
2015	1523	5.863
2014	1356	5.220
2013	1221	4.701
2012	1027	3.954
2011	968	3.727
2010	812	3.126
2009	860	3.311
2008	748	2.880
2007	632	2.433
2006	491	1.890
2005	435	1.675
2004	312	1.201
2003	265	1.020
2002	231	0.889
2001	245	0.943
2000	214	0.824
1999	170	0.654
1998	171	0.658
1997	140	0.539
1996	130	0.500
1995	109	0.420
1994	99	0.381
1993	105	0.404
1992	90	0.346
1991	47	0.181
1990	21	0.081
1989	35	0.135
1988	15	0.058
1987	19	0.073
1986	18	0.069
1985	7	0.027
1984	12	0.046
1983	12	0.046
1982	4	0.015
1981	9	0.035
1980	2	0.008
1979	9	0.035
1978	8	0.031
1977	7	0.027
1976	3	0.012
1975	3	0.012
1974	3	0.012
1973	4	0.015
1972	1	0.004
1971	2	0.008
1970	1	0.004
1969	3	0.012
